team,player,pos,age,years_remaining,terms,acquired,status,cap%,free_agency_type,2023-24,2024-25,2025-26,2026-27,2027-28,2028-29,player_id,full,yrs_2324,yrs_2425,yrs_2526,yrs_2627,yrs_2728,yrs_2829
BOS,David Pastrnak,RW,27.0,8,NMC,Draft,NHL,0.135,UFA,11250000,11250000,11250000,11250000,11250000,11250000,8477956.0,Boston Bruins,8,7,6,5,4,3
BOS,Ian Mitchell,RD,24.0,1,,Trade,NHL,0.009000000000000001,RFA,775000,0,0,0,0,0,8480070.0,Boston Bruins,1,0,-1,-2,-3,-4
BOS,Linus Ullmark,G,30.0,2,M-NTC,Signed,NHL,0.06,UFA,5000000,5000000,0,0,0,0,8476999.0,Boston Bruins,2,1,0,-1,-2,-3
BOS,Patrick Brown,"C, RW",31.0,2,,Signed,NHL,0.01,UFA,800000,800000,0,0,0,0,8477887.0,Boston Bruins,2,1,0,-1,-2,-3
BOS,Jeremy Swayman,G,24.0,1,,Draft,NHL,0.042,RFA,3475000,0,0,0,0,0,8480280.0,Boston Bruins,1,0,-1,-2,-3,-4
BUF,Jeff Skinner,"LW, RW",31.0,4,NMC,Trade,NHL,0.10800000000000001,UFA,9000000,9000000,9000000,9000000,0,0,8475784.0,Buffalo Sabres,4,3,2,1,0,-1
BUF,Tage Thompson,C,25.0,7,,Trade,NHL,0.086,UFA,7142857,7142857,7142857,7142857,7142857,7142857,8479420.0,Buffalo Sabres,7,6,5,4,3,2
BUF,Dylan Cozens,"C, LW",22.0,7,,Draft,NHL,0.085,UFA,7100000,7100000,7100000,7100000,7100000,7100000,8481528.0,Buffalo Sabres,7,6,5,4,3,2
BUF,Victor Olofsson,"RW, LW",28.0,1,,Draft,NHL,0.057,UFA,4750000,0,0,0,0,0,8478109.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Jordan Greenway,"LW, RW",26.0,2,,Trade,NHL,0.036000000000000004,UFA,3000000,3000000,0,0,0,0,8478413.0,Buffalo Sabres,2,1,0,-1,-2,-3
BUF,Casey Mittelstadt,"LW, C",24.0,1,,Draft,NHL,0.03,RFA,2500000,0,0,0,0,0,8479999.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Zemgus Girgensons,"LW, C",29.0,1,,Draft,NHL,0.03,UFA,2500000,0,0,0,0,0,8476878.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Kyle Okposo,RW,35.0,1,35+,Signed,NHL,0.03,UFA,2500000,0,0,0,0,0,8473449.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Tyson Jost,C,25.0,1,,Signed,NHL,0.024,UFA,2000000,0,0,0,0,0,8479370.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Zach Benson,LW,18.0,3,ELC,Draft,NHL,0.011000000000000001,RFA,950000,950000,950000,0,0,0,,Buffalo Sabres,3,2,1,0,-1,-2
BUF,Peyton Krebs,"C, LW",22.0,1,ELC,Trade,NHL,0.01,RFA,863333,0,0,0,0,0,8481522.0,Buffalo Sabres,1,0,-1,-2,-3,-4
BUF,Alex Tuch,"RW, LW",27.0,3,M-NTC,Trade,NHL,0.057,UFA,4750000,4750000,4750000,0,0,0,8477949.0,Buffalo Sabres,3,2,1,0,-1,-2
