lineId,name,team,position,situation,games_played,icetime,xGoalsPercentage,corsiPercentage,fenwickPercentage,goalsFor,goalsAgainst,player_id
847518484764598481554,Kreider-Zibanejad-Kakko,NYR,line,5on5,36,13336.0,0.52,0.52,0.53,5.0,2.0,8481554
847883184793678479981,Gadjovich-Stenlund-Lockwood,FLA,line,5on5,6,1880.0,0.44,0.54,0.53,1.0,1.0,8479981
847629284775088481559,Palat-Lazar-Hughes,NJD,line,5on5,4,949.0,0.67,0.6,0.63,1.0,0.0,8481559
847576584774938477933,Reinhart-Barkov-Tarasenko,FLA,line,5on5,13,7230.0,0.6,0.54,0.53,9.0,5.0,8477933
847515184775008478445,Palmieri-Horvat-Barzal,NYI,line,5on5,14,661.0,0.75,0.67,0.69,0.0,0.0,8478445
847689784775738478104,Walker-Sundqvist-Blais,STL,line,5on5,6,1660.0,0.34,0.41,0.37,0.0,1.0,8478104
847079484800278482740,Robertson-Johnston-Pavelski,DAL,line,5on5,40,2047.0,0.49,0.43,0.38,1.0,1.0,8482740
847345384799948481532,Anderson-Dolan-Turcotte-Lewis,LAK,line,5on5,6,1023.0,0.56,0.47,0.5,1.0,1.0,8481532
847574484764748480039,Necas-Kuznetsov-Noesen,CAR,line,5on5,9,1626.0,0.43,0.43,0.42,0.0,0.0,8480039
847698184774978478133,Monahan-Evans-Anderson,MTL,line,5on5,16,8063.0,0.48,0.44,0.42,8.0,6.0,8478133
847062184746418476454,Henrique-Nugent-Hopkins-Perry,EDM,line,5on5,3,727.0,0.6,0.71,0.79,0.0,0.0,8476454
847167584758108476483,Rakell-Crosby-Rust,PIT,line,5on5,7,3982.0,0.65,0.58,0.62,5.0,4.0,8476483
847456484774078478519,Duclair-Cirelli-Stamkos,TBL,line,5on5,6,1142.0,0.38,0.43,0.39,2.0,0.0,8478519
847584284775278480870,Johnston-Carrick-Groulx,ANA,line,5on5,6,1880.0,0.37,0.29,0.3,0.0,0.0,8480870
847531484784458480789,Lee-Barzal-Wahlstrom,NYI,line,5on5,3,612.0,0.54,0.48,0.53,0.0,0.0,8480789
847842784808308482093,Aho-Jarvis-Svechnikov,CAR,line,5on5,32,3807.0,0.62,0.58,0.59,4.0,2.0,8482093
847487084800258482117,Reichel-Entwistle-Johnson,CHI,line,5on5,4,640.0,0.24,0.38,0.41,0.0,3.0,8482117
847578684784028480802,Hyman-Mcdavid-Mcleod,EDM,line,5on5,4,1074.0,0.53,0.63,0.61,2.0,0.0,8480802
847935384807768481032,Cotter-Howden-Rempal,VGK,line,5on5,2,688.0,0.3,0.24,0.22,1.0,0.0,8481032
847645384774268479591,Eyssimont-Paul-Kucherov,TBL,line,5on5,14,619.0,0.5,0.66,0.59,1.0,1.0,8479591
847748284779878479383,Katchouk-Sanford-Donato,CHI,line,5on5,7,2670.0,0.51,0.43,0.44,1.0,2.0,8479383
847487084769608482117,Reichel-Johnson-Athanasiou,CHI,line,5on5,9,2434.0,0.32,0.36,0.33,1.0,3.0,8482117
847843484793538482153,Brisson-Howden-Kolesar,VGK,line,5on5,4,1544.0,0.44,0.29,0.3,0.0,2.0,8482153
847418984802058480836,Gruden-Eller-Bemstrom,PIT,line,5on5,2,829.0,0.73,0.46,0.56,0.0,0.0,8480836
847836684808068481517,Vatrano-Lundestrom-Leason,ANA,line,5on5,5,604.0,0.08,0.09,0.06,0.0,2.0,8481517
847804284794008482155,Arvidsson-Dubois-Laferriere,LAK,line,5on5,5,1894.0,0.24,0.4,0.39,0.0,1.0,8482155
847688284808308480835,Teravainen-Drury-Svechnikov,CAR,line,5on5,9,1487.0,0.45,0.52,0.5,1.0,1.0,8480835
847584884764698477989,Armia-Dvorak-Gallagher,MTL,line,5on5,13,4731.0,0.46,0.51,0.54,1.0,1.0,8477989
847516684815828482259,Robertson-Tavares-Mcmann,TOR,line,5on5,7,3211.0,0.47,0.49,0.54,4.0,1.0,8482259
847692584785088480853,Foudy-Sissons-Trenin,NSH,line,5on5,5,2036.0,0.67,0.55,0.6,2.0,0.0,8480853
847804784808298482093,Bunting-Kotkaniemi-Jarvis,CAR,line,5on5,15,1288.0,0.31,0.39,0.4,0.0,2.0,8482093
