season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif,offense,defense,differential
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,4on5,8.0,0.0,0.0,0.0,1.042,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.125,0.0,5.0,0.0,6.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.042,-9.0,-1.0,0.0,1.042,-1.042
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,5on4,11.0,0.0,0.0,0.354,0.01,0.97,3.0,0.0,1.0,9.0,0.0,1.0,2.8,1.0,15.0,1.0,0.94,19.0,4.0,0.83,10.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,0.13333333333333333,1.0,4.0,3.0,5.0,1.0,0.26,0.25,0.21,0.75,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.344,14.0,3.0,0.354,0.01,0.344
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,5on5,40.61666666666667,1.0,3.0,3.094,2.57,0.55,8.0,8.0,0.5,18.0,17.0,0.51,2.6875,2.6129032258064515,33.0,31.0,0.52,51.0,43.0,0.54,23.0,24.0,10.0,10.0,4.0,9.0,8.0,6.0,9.0,10.0,0.28125,0.3225806451612903,18.0,12.0,10.0,7.0,0.2,0.16,0.35,0.28,0.0,8.0,0.0,16.0,15.0,18.0,13.0,3.0,2.0,0.0,16.0,13.0,10.0,4.0,1.0,2.0,-2.0,0.524,2.0,0.0,4.093999999999999,5.57,-1.4760000000000009
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,all,60.0,1.0,4.0,3.448,4.046,0.46,11.0,9.0,0.55,27.0,24.0,0.53,2.723404255319149,2.65,48.0,42.0,0.53,70.0,62.0,0.53,33.0,28.0,16.0,16.0,4.0,15.0,9.0,7.0,11.0,12.0,0.23404255319148937,0.3,22.0,20.0,15.0,14.0,0.21,0.23,0.31,0.32,0.0,8.0,0.0,16.0,20.0,29.0,15.0,6.0,4.0,0.0,20.0,16.0,13.0,4.0,2.0,2.0,-3.0,-0.5980000000000003,6.0,2.0,4.448,8.046,-3.597999999999999
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,other,0.38333333333333336,0.0,1.0,0.0,0.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-0.424,-1.0,0.0,0.0,1.424,-1.424
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,4on5,11.0,0.0,0.0,0.01,0.354,0.03,0.0,3.0,0.0,0.0,9.0,0.0,1.0,2.8,1.0,15.0,0.06,4.0,19.0,0.17,0.0,10.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,2.0,1.0,0.13333333333333333,3.0,4.0,1.0,5.0,0.25,0.26,0.75,0.21,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,-0.344,-14.0,-3.0,0.01,0.354,-0.344
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,5on4,8.0,0.0,0.0,1.042,0.0,1.0,1.0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,9.0,0.0,1.0,14.0,0.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,5.0,0.0,6.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042,9.0,1.0,1.042,0.0,1.042
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,5on5,40.61666666666667,3.0,1.0,2.57,3.094,0.45,8.0,8.0,0.5,17.0,18.0,0.49,2.6129032258064515,2.6875,31.0,33.0,0.48,43.0,51.0,0.46,24.0,23.0,9.0,8.0,6.0,10.0,10.0,4.0,10.0,9.0,0.3225806451612903,0.28125,12.0,18.0,7.0,10.0,0.16,0.2,0.28,0.35,0.0,16.0,0.0,8.0,18.0,15.0,16.0,13.0,10.0,4.0,13.0,3.0,2.0,0.0,2.0,1.0,2.0,-0.524,-2.0,0.0,5.57,4.093999999999999,1.4760000000000009
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,all,60.0,4.0,1.0,4.046,3.448,0.54,9.0,11.0,0.45,24.0,27.0,0.47,2.65,2.723404255319149,42.0,48.0,0.47,62.0,70.0,0.47,28.0,33.0,15.0,9.0,7.0,16.0,16.0,4.0,12.0,11.0,0.3,0.23404255319148937,20.0,22.0,14.0,15.0,0.23,0.21,0.32,0.31,0.0,16.0,0.0,8.0,29.0,20.0,20.0,16.0,13.0,4.0,15.0,6.0,4.0,0.0,2.0,2.0,3.0,0.5980000000000003,-6.0,-2.0,8.046,4.448,3.597999999999999
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,other,0.38333333333333336,1.0,0.0,0.424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.424,1.0,0.0,1.424,0.0,1.424
