label,value,team,situation,n_games
XG Differential,0.12,ANA,5on4,last 10 games
Shot (FW) Volume,0.41,ANA,5on4,last 10 games
Shot (FW) Differential,0.38,ANA,5on4,last 10 games
Penalty Differential,0.06,ANA,5on4,last 10 games
offense_p60_perc,0.19,ANA,5on4,last 10 games
defense_p60_perc,0.64,ANA,5on4,last 10 games
cum_dif_p60_perc,0.38,ANA,5on4,last 10 games
offense,6.87,ANA,5on4,last 10 games
defense,1.1,ANA,5on4,last 10 games
cum_dif,5.77,ANA,5on4,last 10 games
Points,0.47,ANA,5on4,last 5 games
Goals For,0.44,ANA,5on4,last 5 games
Goal Differential,0.59,ANA,5on4,last 5 games
Shooting %,0.42,ANA,5on4,last 5 games
Save %,0.73,ANA,5on4,last 5 games
sv%,1.0,ANA,5on4,last 5 games
Blocked shot attempt %,0.88,ANA,5on4,last 5 games
Blocked shot attempt % against,0.61,ANA,5on4,last 5 games
Expected Goals For,0.12,ANA,5on4,last 5 games
XG Differential,0.09,ANA,5on4,last 5 games
Shot (FW) Volume,0.53,ANA,5on4,last 5 games
Shot (FW) Differential,0.28,ANA,5on4,last 5 games
Penalty Differential,0.25,ANA,5on4,last 5 games
offense_p60_perc,0.25,ANA,5on4,last 5 games
defense_p60_perc,0.47,ANA,5on4,last 5 games
cum_dif_p60_perc,0.22,ANA,5on4,last 5 games
offense,3.48,ANA,5on4,last 5 games
defense,1.02,ANA,5on4,last 5 games
cum_dif,2.46,ANA,5on4,last 5 games
Points,0.16,ARI,all,all
Goals For,0.17,ARI,all,all
Goal Differential,0.16,ARI,all,all
Shooting %,0.69,ARI,all,all
Save %,0.52,ARI,all,all
sv%,0.901,ARI,all,all
Blocked shot attempt %,0.48,ARI,all,all
Blocked shot attempt % against,0.19,ARI,all,all
Expected Goals For,0.12,ARI,all,all
XG Differential,0.09,ARI,all,all
Shot (FW) Volume,0.03,ARI,all,all
Shot (FW) Differential,0.06,ARI,all,all
Penalty Differential,0.05,ARI,all,all
offense_p60_perc,0.12,ARI,all,all
defense_p60_perc,0.09,ARI,all,all
cum_dif_p60_perc,0.11,ARI,all,all
offense,319.26,ARI,all,all
defense,434.64,ARI,all,all
cum_dif,-115.38,ARI,all,all
Points,0.25,ARI,all,last 20 games
Goals For,0.17,ARI,all,last 20 games
Goal Differential,0.22,ARI,all,last 20 games
Shooting %,0.31,ARI,all,last 20 games
Save %,0.78,ARI,all,last 20 games
sv%,0.914,ARI,all,last 20 games
Blocked shot attempt %,0.44,ARI,all,last 20 games
Blocked shot attempt % against,0.12,ARI,all,last 20 games
Expected Goals For,0.3,ARI,all,last 20 games
XG Differential,0.16,ARI,all,last 20 games
Shot (FW) Volume,0.16,ARI,all,last 20 games
Shot (FW) Differential,0.06,ARI,all,last 20 games
Penalty Differential,0.03,ARI,all,last 20 games
offense_p60_perc,0.17,ARI,all,last 20 games
defense_p60_perc,0.28,ARI,all,last 20 games
cum_dif_p60_perc,0.12,ARI,all,last 20 games
offense,110.55,ARI,all,last 20 games
defense,140.51,ARI,all,last 20 games
cum_dif,-29.959999999999994,ARI,all,last 20 games
Points,0.55,ARI,all,last 10 games
Goals For,0.38,ARI,all,last 10 games
Goal Differential,0.33,ARI,all,last 10 games
Shooting %,0.56,ARI,all,last 10 games
Save %,0.64,ARI,all,last 10 games
sv%,0.913,ARI,all,last 10 games
Blocked shot attempt %,0.61,ARI,all,last 10 games
Blocked shot attempt % against,0.12,ARI,all,last 10 games
Expected Goals For,0.48,ARI,all,last 10 games
XG Differential,0.22,ARI,all,last 10 games
Shot (FW) Volume,0.16,ARI,all,last 10 games
Shot (FW) Differential,0.06,ARI,all,last 10 games
Penalty Differential,0.09,ARI,all,last 10 games
offense_p60_perc,0.33,ARI,all,last 10 games
defense_p60_perc,0.19,ARI,all,last 10 games
cum_dif_p60_perc,0.2,ARI,all,last 10 games
offense,61.19,ARI,all,last 10 games
defense,74.67,ARI,all,last 10 games
cum_dif,-13.480000000000004,ARI,all,last 10 games
Points,0.47,ARI,all,last 5 games
Goals For,0.25,ARI,all,last 5 games
Goal Differential,0.25,ARI,all,last 5 games
Shooting %,0.5,ARI,all,last 5 games
Save %,0.62,ARI,all,last 5 games
sv%,0.91,ARI,all,last 5 games
Blocked shot attempt %,0.28,ARI,all,last 5 games
Blocked shot attempt % against,0.28,ARI,all,last 5 games
Expected Goals For,0.33,ARI,all,last 5 games
XG Differential,0.12,ARI,all,last 5 games
Shot (FW) Volume,0.16,ARI,all,last 5 games
Shot (FW) Differential,0.06,ARI,all,last 5 games
Penalty Differential,0.06,ARI,all,last 5 games
offense_p60_perc,0.16,ARI,all,last 5 games
defense_p60_perc,0.2,ARI,all,last 5 games
cum_dif_p60_perc,0.12,ARI,all,last 5 games
offense,27.57,ARI,all,last 5 games
defense,41.11,ARI,all,last 5 games
cum_dif,-13.54,ARI,all,last 5 games
Points,0.16,ARI,5on5,all
Goals For,0.22,ARI,5on5,all
Goal Differential,0.23,ARI,5on5,all
Shooting %,0.75,ARI,5on5,all
Save %,0.55,ARI,5on5,all
sv%,0.911,ARI,5on5,all
Blocked shot attempt %,0.47,ARI,5on5,all
Blocked shot attempt % against,0.19,ARI,5on5,all
Expected Goals For,0.14,ARI,5on5,all
XG Differential,0.12,ARI,5on5,all
Shot (FW) Volume,0.06,ARI,5on5,all
Shot (FW) Differential,0.09,ARI,5on5,all
Penalty Differential,0.03,ARI,5on5,all
offense_p60_perc,0.11,ARI,5on5,all
defense_p60_perc,0.22,ARI,5on5,all
