season,game_id,date,team,GN,home_away,opponent,results,game_end,final_G,final_GA,situation,toi,gf,ga,xgf,xga,xg%,hdsc,hdsca,hdsc%,sc,sca,sc%,asd,asda,fwf,fwa,fenwick%,cf,ca,corsi%,shots,shots_ag,mdsc,adsc,ldsc,mdsca,adsca,ldsca,point_shot,point_shot_ag,pshot_perc,pshot_perc_ag,blocks,blocks_ag,miss,miss_ag,miss_perc,miss_perc_ag,block%,block%_ag,penalties,penalty_mins,penalties_ag,penalty_mins_ag,faceoff_w,faceoff_l,hits,takeaways,giveaways,dz_giveaways,hits_ag,takeaways_ag,giveaways_ag,dz_giveaways_ag,oz_takeaways,oz_takeaways_ag,g_dif,xg_dif,fwf_dif,hdsc_dif
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,4on5,480.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.125,0.0,5.0,0.0,6.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-9.0,-1.0
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,5on4,660.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,9.0,0.0,1.0,2.8,1.0,15.0,1.0,0.94,20.0,3.0,0.87,10.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,2.0,1.0,0.13333333333333333,1.0,5.0,2.0,5.0,1.0,0.25,0.33,0.25,0.67,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,3.0
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,5on5,2437.0,1.0,4.0,0.0,0.0,0.0,8.0,8.0,0.5,18.0,17.0,0.51,2.6875,2.6129032258064515,33.0,32.0,0.51,51.0,44.0,0.54,23.0,25.0,10.0,10.0,4.0,9.0,8.0,6.0,9.0,10.0,0.28125,0.3225806451612903,18.0,12.0,10.0,7.0,0.2,0.16,0.35,0.27,4.0,8.0,4.0,11.0,16.0,18.0,13.0,3.0,2.0,0.0,16.0,14.0,10.0,4.0,1.0,2.0,-3.0,0.0,1.0,0.0
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,all,3600.0,1.0,4.0,0.0,0.0,0.0,11.0,9.0,0.55,27.0,24.0,0.53,2.723404255319149,2.65,48.0,42.0,0.53,71.0,61.0,0.54,33.0,28.0,16.0,16.0,4.0,15.0,9.0,7.0,11.0,12.0,0.23404255319148937,0.3,23.0,19.0,15.0,14.0,0.21,0.23,0.32,0.31,4.0,8.0,4.0,11.0,20.0,29.0,15.0,6.0,4.0,0.0,20.0,16.0,13.0,4.0,2.0,2.0,-3.0,0.0,6.0,2.0
20232024,2023020003,2023-10-10,SEA,1,AWAY,VGK,L,REG,1.0,4.0,other,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,4on5,660.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,1.0,2.8,1.0,15.0,0.06,3.0,20.0,0.13,0.0,10.0,0.0,0.0,1.0,6.0,6.0,0.0,1.0,2.0,1.0,0.13333333333333333,2.0,5.0,1.0,5.0,0.33,0.25,0.67,0.25,0.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-14.0,-3.0
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,5on4,480.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,1.0,3.0,0.0,9.0,0.0,1.0,14.0,0.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,5.0,0.0,6.0,0.0,0.43,0.0,0.36,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,5on5,2437.0,4.0,1.0,0.0,0.0,0.0,8.0,8.0,0.5,17.0,18.0,0.49,2.6129032258064515,2.6875,32.0,33.0,0.49,44.0,51.0,0.46,25.0,23.0,9.0,8.0,6.0,10.0,10.0,4.0,10.0,9.0,0.3225806451612903,0.28125,12.0,18.0,7.0,10.0,0.16,0.2,0.27,0.35,4.0,11.0,4.0,8.0,18.0,16.0,16.0,14.0,10.0,4.0,13.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,-1.0,0.0
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,all,3600.0,4.0,1.0,0.0,0.0,0.0,9.0,11.0,0.45,24.0,27.0,0.47,2.65,2.723404255319149,42.0,48.0,0.47,61.0,71.0,0.46,28.0,33.0,15.0,9.0,7.0,16.0,16.0,4.0,12.0,11.0,0.3,0.23404255319148937,19.0,23.0,14.0,15.0,0.23,0.21,0.31,0.32,4.0,11.0,4.0,8.0,29.0,20.0,20.0,16.0,13.0,4.0,15.0,6.0,4.0,0.0,2.0,2.0,3.0,0.0,-6.0,-2.0
20232024,2023020003,2023-10-10,VGK,1,HOME,SEA,W,REG,4.0,1.0,other,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
