team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
BOS,Matt Grzelcyk,scratch,D,48.0,L,75.0,17.176000000000002,13.0,4.0,9.0,13.0,3.97307235,149.0,0.5131740357356106,23.47307235,140.46550835,-91.34600641,29,NHL,2,UFA,3687500,Boston Bruins,"Matt Grzelcyk

GP: 75.0

TOI per game: 17.176000000000002

G: 4.0

A: 22.0

Primary PTS: 13.0

iXG: 3.97307235

iFW: 149.0

XG%: 0.5131740357356106"
MIN,John Klingberg,scratch,D,3.0,R,67.0,20.299502487562187,25.0,10.0,15.0,8.0,6.09834527,171.0,0.3890869865179024,35.09834527,143.24084516,-164.27948788999998,30,NHL,1,UFA,3500000,Minnesota Wild,"John Klingberg

GP: 67.0

TOI per game: 20.299502487562187

G: 10.0

A: 23.0

Primary PTS: 25.0

iXG: 6.09834527

iFW: 171.0

XG%: 0.3890869865179024"
ARI,Zack Kassian,scratch,F,44.0,R,51.0,9.165686274509804,2.0,2.0,0.0,0.0,3.23553353,34.0,0.3431510602509119,5.23553353,20.44506116,-53.17834461,32,NHL,2,UFA,3200000,Arizona Coyotes,"Zack Kassian

GP: 51.0

TOI per game: 9.165686274509804

G: 2.0

A: 0.0

Primary PTS: 2.0

iXG: 3.23553353

iFW: 34.0

XG%: 0.3431510602509119"
CAR,Jesse Puljujarvi,scratch,F,13.0,R,75.0,11.975333333333332,11.0,5.0,6.0,5.0,12.71241144,178.0,0.5314736152792262,26.21241144,76.72019018,-78.78379484,24,NHL,1,RFA,3000000,Carolina Hurricanes,"Jesse Puljujarvi

GP: 75.0

TOI per game: 11.975333333333332

G: 5.0

A: 11.0

Primary PTS: 11.0

iXG: 12.71241144

iFW: 178.0

XG%: 0.5314736152792262"
NJD,Mackenzie Blackwood,scratch,G,29.0,L,,,,,,,,,,,,,26,NHL,1,RFA,2800000,New Jersey Devils,"Mackenzie Blackwood

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
MIN,Oskar Sundqvist,scratch,F,70.0,R,67.0,13.865174129353234,18.0,10.0,8.0,10.0,10.52326778,97.0,0.4408568306532486,33.52326778,100.47400093,-90.13637151,29,NHL,1,UFA,2750000,Minnesota Wild,"Oskar Sundqvist

GP: 67.0

TOI per game: 13.865174129353234

G: 10.0

A: 18.0

Primary PTS: 18.0

iXG: 10.52326778

iFW: 97.0

XG%: 0.4408568306532486"
LAK,Sean Walker,scratch,D,26.0,R,70.0,14.49547619047619,8.0,3.0,5.0,5.0,5.03193048,128.0,0.5157469476588322,15.53193048,96.270586,-104.44738963,28,NHL,2,UFA,2650000,Los Angeles Kings,"Sean Walker

GP: 70.0

TOI per game: 14.49547619047619

G: 3.0

A: 10.0

Primary PTS: 8.0

iXG: 5.03193048

iFW: 128.0

XG%: 0.5157469476588322"
VAN,Tucker Poolman,scratch,D,5.0,R,3.0,13.96111111111111,1.0,0.0,1.0,0.0,0.0586750999999999,3.0,0.3238157645117571,1.0586751,3.2363024,-3.72311984,29,LTIR,3,UFA,2500000,Vancouver Canucks,"Tucker Poolman

GP: 3.0

TOI per game: 13.96111111111111

G: 0.0

A: 1.0

Primary PTS: 1.0

iXG: 0.0586750999999999

iFW: 3.0

XG%: 0.3238157645117571"
NYI,Alexander Romanov,scratch,D,28.0,L,76.0,19.360526315789475,13.0,2.0,11.0,9.0,3.59313997,134.0,0.4496598141198737,21.09313997,124.6448911,-151.95420317999998,23,NHL,3,RFA,2500000,New York Islanders,"Alexander Romanov

GP: 76.0

TOI per game: 19.360526315789475

G: 2.0

A: 20.0

Primary PTS: 13.0

iXG: 3.59313997

iFW: 134.0

XG%: 0.4496598141198737"
BOS,Patrice Bergeron,scratch,F,37.0,R,78.0,17.26517094017094,43.0,27.0,16.0,15.0,30.97029082,340.0,0.621867920746312,81.47029082,218.0700938,-99.72965817,37,NHL,1,UFA,2500000,Boston Bruins,"Patrice Bergeron

GP: 78.0

TOI per game: 17.26517094017094

G: 27.0

A: 31.0

Primary PTS: 43.0

iXG: 30.97029082

iFW: 340.0

XG%: 0.621867920746312"
VGK,Teddy Blueger,scratch,F,53.0,L,63.0,12.82037037037037,14.0,4.0,10.0,2.0,11.05344034,105.0,0.468377785447849,26.05344034,55.2195762,-94.23918426,28,NHL,1,UFA,2200000,Vegas Golden Knights,"Teddy Blueger

GP: 63.0

TOI per game: 12.82037037037037

G: 4.0

A: 12.0

Primary PTS: 14.0

iXG: 11.05344034

iFW: 105.0

XG%: 0.468377785447849"
EDM,Mike Smith,injured reserve,G,41.0,L,,,,,,,,,,,,,41,LTIR,1,UFA,2200000,Edmonton Oilers,"Mike Smith

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
VGK,Adin Hill,scratch,G,33.0,L,,,,,,,,,,,,,26,NHL,1,UFA,2175000,Vegas Golden Knights,"Adin Hill

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
NJD,Yegor Sharangovich,scratch,F,17.0,L,75.0,14.296888888888889,24.0,13.0,11.0,6.0,17.23951303,184.0,0.5359896055416734,44.23951303,99.70160816,-125.70290638,24,NHL,1,RFA,2000000,New Jersey Devils,"Yegor Sharangovich

GP: 75.0

TOI per game: 14.296888888888889

G: 13.0

A: 17.0

Primary PTS: 24.0

iXG: 17.23951303

iFW: 184.0

XG%: 0.5359896055416734"
