team,player,line,pos,num,handedness,gp,toi_pg,ppts,g,a1,a2,iXG,iFW,xg_perc,iOff,Off,Def,age,status,years_remaining,free_agency_type,cap_hit,full,info
TOR,Matt Murray,scratch,G,30.0,L,,,,,,,,,,,,,25,Minor,1,RFA,750000,Toronto Maple Leafs,"Matt Murray

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
NYI,Parker Wotherspoon,scratch,D,38.0,L,12.0,12.7625,0.0,0.0,0.0,1.0,0.34993906,12.0,0.5458906605872531,0.8499390600000001,15.75084903,-10.35745747,25,NHL,1,UFA,750000,New York Islanders,"Parker Wotherspoon

GP: 12.0

TOI per game: 12.7625

G: 0.0

A: 1.0

Primary PTS: 0.0

iXG: 0.34993906

iFW: 12.0

XG%: 0.5458906605872531"
WPG,Kevin Stenlund,scratch,F,28.0,R,54.0,11.52037037037037,7.0,6.0,1.0,2.0,7.58031638,93.0,0.4905808357210098,15.58031638,39.72367467,-61.51398846,26,NHL,1,RFA,750000,Winnipeg Jets,"Kevin Stenlund

GP: 54.0

TOI per game: 11.52037037037037

G: 6.0

A: 3.0

Primary PTS: 7.0

iXG: 7.58031638

iFW: 93.0

XG%: 0.4905808357210098"
FLA,Zac Dalpe,scratch,F,22.0,R,14.0,8.401190476190477,3.0,2.0,1.0,1.0,1.00057911,21.0,0.3428843801954752,4.50057911,9.13851431,-17.01074175,33,NHL,3,UFA,750000,Florida Panthers,"Zac Dalpe

GP: 14.0

TOI per game: 8.401190476190477

G: 2.0

A: 2.0

Primary PTS: 3.0

iXG: 1.00057911

iFW: 21.0

XG%: 0.3428843801954752"
FLA,Casey Fitzgerald,scratch,D,4.0,R,27.0,11.91604938271605,2.0,0.0,2.0,1.0,0.8442334499999999,24.0,0.3976764400529403,3.34423345,25.409665330000003,-44.02437444,26,NHL,1,RFA,750000,Florida Panthers,"Casey Fitzgerald

GP: 27.0

TOI per game: 11.91604938271605

G: 0.0

A: 3.0

Primary PTS: 2.0

iXG: 0.8442334499999999

iFW: 24.0

XG%: 0.3976764400529403"
WPG,Sam Gagner,scratch,F,89.0,R,48.0,12.154513888888888,12.0,8.0,4.0,2.0,6.75893317,104.0,0.5024213085907535,19.75893317,52.3772405,-44.99332319,33,NHL,1,UFA,750000,Winnipeg Jets,"Sam Gagner

GP: 48.0

TOI per game: 12.154513888888888

G: 8.0

A: 6.0

Primary PTS: 12.0

iXG: 6.75893317

iFW: 104.0

XG%: 0.5024213085907535"
WPG,Axel Jonsson-Fjallby,scratch,F,71.0,L,50.0,10.365333333333332,10.0,6.0,4.0,4.0,5.28180063,74.0,0.5074769486878139,17.28180063,36.52475322,-45.334622800000005,25,NHL,1,RFA,750000,Winnipeg Jets,"Axel Jonsson-Fjallby

GP: 50.0

TOI per game: 10.365333333333332

G: 6.0

A: 8.0

Primary PTS: 10.0

iXG: 5.28180063

iFW: 74.0

XG%: 0.5074769486878139"
MIN,Mason Shaw,scratch,F,15.0,L,59.0,11.290395480225987,12.0,7.0,5.0,5.0,6.8556406,114.0,0.4779047109523633,21.3556406,43.97589215,-56.20399037,24,NHL,1,RFA,750000,Minnesota Wild,"Mason Shaw

GP: 59.0

TOI per game: 11.290395480225987

G: 7.0

A: 10.0

Primary PTS: 12.0

iXG: 6.8556406

iFW: 114.0

XG%: 0.4779047109523633"
NSH,Mark Jankowski,scratch,F,17.0,L,50.0,12.439666666666668,10.0,7.0,3.0,2.0,6.56856654,81.0,0.4186041880001876,17.56856654,36.99636668,-62.25481675,28,Minor,2,UFA,750000,Nashville Predators,"Mark Jankowski

GP: 50.0

TOI per game: 12.439666666666668

G: 7.0

A: 5.0

Primary PTS: 10.0

iXG: 6.56856654

iFW: 81.0

XG%: 0.4186041880001876"
VGK,Brayden Pachal,scratch,D,94.0,R,10.0,15.333333333333334,0.0,0.0,0.0,2.0,0.48439866,25.0,0.5657236016372122,1.48439866,14.12204239,-10.47931861,23,NHL,1,RFA,750000,Vegas Golden Knights,"Brayden Pachal

GP: 10.0

TOI per game: 15.333333333333334

G: 0.0

A: 2.0

Primary PTS: 0.0

iXG: 0.48439866

iFW: 25.0

XG%: 0.5657236016372122"
NYR,Ben Harpur,scratch,D,5.0,L,42.0,14.063888888888888,1.0,1.0,0.0,5.0,0.84417583,47.0,0.4002224038111878,4.34417583,42.24734626,-54.70252962,28,NHL,3,UFA,750000,New York Rangers,"Ben Harpur

GP: 42.0

TOI per game: 14.063888888888888

G: 1.0

A: 5.0

Primary PTS: 1.0

iXG: 0.84417583

iFW: 47.0

XG%: 0.4002224038111878"
DAL,Joel Hanley,scratch,D,44.0,L,26.0,11.655128205128204,1.0,0.0,1.0,1.0,0.53984174,23.0,0.5925391441717972,2.03984174,25.75689616,-16.757842330000003,31,NHL,1,UFA,750000,Dallas Stars,"Joel Hanley

GP: 26.0

TOI per game: 11.655128205128204

G: 0.0

A: 2.0

Primary PTS: 1.0

iXG: 0.53984174

iFW: 23.0

XG%: 0.5925391441717972"
DAL,Dylan Wells,scratch,G,,L,,,,,,,,,,,,,25,Emerg. Loan,1,UFA,750000,Dallas Stars,"Dylan Wells

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
SEA,Cale Fleury,scratch,D,8.0,R,12.0,11.823611111111113,0.0,0.0,0.0,1.0,0.71980624,20.0,0.5525066637020347,1.21980624,13.17218549,-11.72282418,24,NHL,1,RFA,750000,Seattle Kraken,"Cale Fleury

GP: 12.0

TOI per game: 11.823611111111113

G: 0.0

A: 1.0

Primary PTS: 0.0

iXG: 0.71980624

iFW: 20.0

XG%: 0.5525066637020347"
COL,Keith Kinkaid,scratch,G,30.0,L,,,,,,,,,,,,,33,Minor,1,UFA,750000,Colorado Avalanche,"Keith Kinkaid

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
SEA,Jesper Froden,scratch,F,38.0,R,14.0,9.626190476190477,2.0,0.0,2.0,2.0,2.13975962,20.0,0.5536878070162714,5.13975962,16.96210635,-8.25650489,28,NHL,1,UFA,750000,Seattle Kraken,"Jesper Froden

GP: 14.0

TOI per game: 9.626190476190477

G: 0.0

A: 4.0

Primary PTS: 2.0

iXG: 2.13975962

iFW: 20.0

XG%: 0.5536878070162714"
CGY,Martin Pospisil,scratch,F,76.0,L,,,,,,,,,,,,,23,Minor,1,RFA,750000,Calgary Flames,"Martin Pospisil

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
DAL,Fredrik Olofsson,scratch,F,42.0,L,28.0,10.088690476190475,4.0,1.0,3.0,0.0,3.73141809,45.0,0.6035666135274743,7.73141809,20.13250936,-15.96884994,26,NHL,1,UFA,750000,Dallas Stars,"Fredrik Olofsson

GP: 28.0

TOI per game: 10.088690476190475

G: 1.0

A: 3.0

Primary PTS: 4.0

iXG: 3.73141809

iFW: 45.0

XG%: 0.6035666135274743"
SEA,John Hayden,injured reserve,F,15,R,7.0,7.3,2.0,2.0,0.0,0.0,0.97180264,13.0,0.4699375428484681,2.97180264,4.41178567,-2.7203552,28,IR,1,UFA,750000,Seattle Kraken,"John Hayden

GP: 7.0

TOI per game: 7.3

G: 2.0

A: 0.0

Primary PTS: 2.0

iXG: 0.97180264

iFW: 13.0

XG%: 0.4699375428484681"
WSH,Gabriel Carlsson,scratch,D,18.0,L,6.0,13.761111111111113,1.0,0.0,1.0,1.0,0.2739886,4.0,0.3223428341577986,1.7739886,5.02203075,-11.74381606,26,Minor,1,RFA,750000,Washington Capitals,"Gabriel Carlsson

GP: 6.0

TOI per game: 13.761111111111113

G: 0.0

A: 2.0

Primary PTS: 1.0

iXG: 0.2739886

iFW: 4.0

XG%: 0.3223428341577986"
BUF,Brett Murray,scratch,F,81.0,L,,,,,,,,,,,,,24,Minor,1,RFA,750000,Buffalo Sabres,"Brett Murray

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
MIN,Pavel Novak,injured reserve,F,80,R,,,,,,,,,,,,,21,SOIR,3,RFA,0,Minnesota Wild,"Pavel Novak

GP: nan

TOI per game: nan

G: nan

A: nan

Primary PTS: nan

iXG: nan

iFW: nan

XG%: nan"
