season,team,round,picks,rd_value,draft_capital_rank
2024,VGK,Round 6,1.0,0.067,17.0
2024,CAR,Round 6,1.0,0.067,14.0
2024,NYI,Round 6,1.0,0.067,20.0
2024,WPG,Round 6,1.0,0.067,24.0
2024,LAK,Round 6,1.0,0.067,21.0
2024,SEA,Round 6,1.0,0.067,12.0
2024,TBL,Round 6,1.0,0.067,32.0
2024,TOR,Round 6,1.0,0.067,30.0
2024,EDM,Round 6,2.0,0.067,22.0
2024,FLA,Round 6,1.0,0.067,28.0
2024,PIT,Round 6,1.0,0.067,26.0
2024,NSH,Round 6,1.0,0.067,4.0
2024,NYR,Round 6,1.0,0.067,25.0
2024,DET,Round 6,1.0,0.067,15.0
2024,BUF,Round 6,1.0,0.067,13.0
2024,OTT,Round 6,1.0,0.067,11.0
2024,SJS,Round 6,0.0,0.067,7.0
2024,DAL,Round 6,0.0,0.067,27.0
2024,MIN,Round 6,1.0,0.067,18.0
2024,COL,Round 7,1.0,0.021,23.0
2024,CHI,Round 7,0.0,0.021,2.0
2024,CBJ,Round 7,0.0,0.021,16.0
2024,STL,Round 7,2.0,0.021,9.0
2024,BOS,Round 7,0.0,0.021,31.0
2024,MTL,Round 7,3.0,0.021,3.0
2024,VAN,Round 7,1.0,0.021,29.0
2024,WSH,Round 7,0.0,0.021,8.0
2024,ARI,Round 7,2.0,0.021,1.0
2024,NJD,Round 7,1.0,0.021,19.0
2024,ANA,Round 7,1.0,0.021,10.0
2024,CGY,Round 7,0.0,0.021,6.0
2024,PHI,Round 7,1.0,0.021,5.0
2024,VGK,Round 7,2.0,0.021,17.0
2024,CAR,Round 7,1.0,0.021,14.0
2024,NYI,Round 7,0.0,0.021,20.0
2024,WPG,Round 7,1.0,0.021,24.0
2024,LAK,Round 7,1.0,0.021,21.0
2024,SEA,Round 7,2.0,0.021,12.0
2024,TBL,Round 7,3.0,0.021,32.0
2024,TOR,Round 7,2.0,0.021,30.0
2024,EDM,Round 7,0.0,0.021,22.0
2024,FLA,Round 7,1.0,0.021,28.0
2024,PIT,Round 7,2.0,0.021,26.0
2024,NSH,Round 7,0.0,0.021,4.0
2024,NYR,Round 7,0.0,0.021,25.0
2024,DET,Round 7,1.0,0.021,15.0
2024,BUF,Round 7,1.0,0.021,13.0
2024,OTT,Round 7,0.0,0.021,11.0
2024,SJS,Round 7,2.0,0.021,7.0
2024,DAL,Round 7,1.0,0.021,27.0
2024,MIN,Round 7,0.0,0.021,18.0
2025,COL,Round 1,1.0,1.0,23.0
2025,CHI,Round 1,2.0,1.0,2.0
2025,CBJ,Round 1,1.0,1.0,16.0
2025,STL,Round 1,1.0,1.0,9.0
2025,BOS,Round 1,1.0,1.0,31.0
2025,MTL,Round 1,2.0,1.0,3.0
2025,VAN,Round 1,1.0,1.0,29.0
2025,WSH,Round 1,1.0,1.0,8.0
2025,ARI,Round 1,1.0,1.0,1.0
2025,NJD,Round 1,1.0,1.0,19.0
2025,ANA,Round 1,1.0,1.0,10.0
2025,CGY,Round 1,1.0,1.0,6.0
2025,PHI,Round 1,1.0,1.0,5.0
2025,VGK,Round 1,1.0,1.0,17.0
2025,CAR,Round 1,1.0,1.0,14.0
2025,NYI,Round 1,1.0,1.0,20.0
2025,WPG,Round 1,1.0,1.0,24.0
2025,LAK,Round 1,1.0,1.0,21.0
2025,SEA,Round 1,1.0,1.0,12.0
2025,TBL,Round 1,0.0,1.0,32.0
2025,TOR,Round 1,0.0,1.0,30.0
2025,EDM,Round 1,1.0,1.0,22.0
2025,FLA,Round 1,0.0,1.0,28.0
2025,PIT,Round 1,1.0,1.0,26.0
2025,NSH,Round 1,2.0,1.0,4.0
2025,NYR,Round 1,1.0,1.0,25.0
2025,DET,Round 1,1.0,1.0,15.0
2025,BUF,Round 1,1.0,1.0,13.0
2025,OTT,Round 1,1.0,1.0,11.0
2025,SJS,Round 1,1.0,1.0,7.0
2025,DAL,Round 1,1.0,1.0,27.0
2025,MIN,Round 1,1.0,1.0,18.0
