x_bin,y_bin,shots_per_60
49,22,0.13460031225177402
49,26,0.11632832839171231
49,30,0.09481251280310328
49,34,0.08591103771048814
49,38,0.03762567706672603
53,-42,0.04240976490193854
53,-38,0.08417158638831568
53,-34,0.10507380272215061
53,-30,0.11317857516842386
53,-26,0.13638973840202157
53,-22,0.14189902000088694
53,-18,0.12313055544509044
53,-14,0.11559807070943344
53,-10,0.09712211342120147
53,-6,0.12291159410397624
53,-2,0.16047520439377908
53,2,0.11533391092556218
53,6,0.11071386248340566
53,10,0.13077686898343904
53,14,0.14457972668312855
53,18,0.16447129939655353
53,22,0.14224574997017927
53,26,0.11850199036229633
53,30,0.09357480736224243
53,34,0.09087590500301913
53,38,0.039225147632982175
57,-42,0.05080692638886585
57,-38,0.07767005051084046
57,-34,0.09467837386631238
57,-30,0.1184929026515303
57,-26,0.1416852740655291
57,-22,0.16516539384397158
57,-18,0.16516881134600467
57,-14,0.13525503990857868
57,-10,0.11756808314187
57,-6,0.14491251023477356
57,-2,0.2120800468578161
57,2,0.1422049080099791
57,6,0.13305021227838842
57,10,0.1641438354617266
57,14,0.18254294681173922
57,18,0.17215893622487258
57,22,0.13328649768620382
57,26,0.11737664856481458
57,30,0.09082780105666621
57,34,0.09401967171284131
57,38,0.03678022613293487
61,-42,0.04467816396485407
61,-38,0.07373147568511547
61,-34,0.0881450629697033
61,-30,0.11184016923603678
61,-26,0.13832973671753493
61,-22,0.1538282176203717
61,-18,0.174972486070652
61,-14,0.1502834065923226
61,-10,0.12896327480279324
61,-6,0.17427434246621096
61,-2,0.24748970005117432
61,2,0.15931528587850205
61,6,0.1473542197703771
61,10,0.1771995982074785
61,14,0.18225782723835382
61,18,0.16006285421616778
61,22,0.13698266253026528
61,26,0.10944371769282014
61,30,0.08559566350243994
61,34,0.0772562361593189
61,38,0.04202747706082013
65,-42,0.04512006315220709
65,-38,0.06448764169303707
65,-34,0.07352481180664493
65,-30,0.09646101340676697
65,-26,0.13952259547545479
65,-22,0.17916910799754
65,-18,0.17256823491794196
65,-14,0.16790013358774505
65,-10,0.15222183355005747
65,-6,0.20685194207779137
65,-2,0.32362550424225
65,2,0.19852730303918367
65,6,0.16795158371618413
65,10,0.18042288701962722
65,14,0.1819944877092079
65,18,0.17685895494054826
65,22,0.11499868383084329
65,26,0.08887262498382617
65,30,0.0717207540772424
65,34,0.0730673601310932
65,38,0.03334698932652325
69,-42,0.03145481506560396
69,-38,0.054882633934332535
69,-34,0.06368749443104996
69,-30,0.07957272608585765
69,-26,0.1039242444845921
69,-22,0.14836434709942495
69,-18,0.1746865537131896
69,-14,0.19040984492271754
69,-10,0.19798512580835867
69,-6,0.2679315067278834
69,-2,0.41264136795892103
69,2,0.24880498363762302
69,6,0.199532554306189
69,10,0.19051542047123912
69,14,0.17181469928745438
69,18,0.12956843667901727
69,22,0.08749172651325306
69,26,0.07225012489151013
69,30,0.058198055065068324
69,34,0.0513831026098501
69,38,0.021783551626511678
73,-42,0.023946960991100923
73,-38,0.042584289511402855
73,-34,0.0500906821717707
73,-30,0.07737292130023168
73,-26,0.08975434003526479
73,-22,0.13765342136704364
73,-18,0.17876845850418135
73,-14,0.2321633724456131
73,-10,0.2807699513661147
73,-6,0.4296745714943983
73,-2,0.6327357947449568
73,2,0.404042324220809
73,6,0.2764883499897082
73,10,0.20087330887332577
73,14,0.1472109149119559
73,18,0.11586032579512508
73,22,0.08453521436001975
73,26,0.06478364064340737
73,30,0.051713645018286854
73,34,0.041722215652347155
73,38,0.014735107830166915
77,-42,0.011900542289601097
77,-38,0.03204892221544253
77,-34,0.04666316722889729
77,-30,0.06196169291149686
77,-26,0.08451358250082722
77,-22,0.12447105693221937
77,-18,0.1600411416625098
77,-14,0.2520567556526683
77,-10,0.4176835864560413
77,-6,0.6831949108170065
77,-2,0.9790389319304654
77,2,0.6410655890251336
77,6,0.33446361538061825
77,10,0.19272103982841562
77,14,0.1235892735028064
77,18,0.09853062482883979
77,22,0.07306468111150304
77,26,0.05607754789475642
77,30,0.04313389900592232
77,34,0.030875559813564966
77,38,0.0051689060368824
81,-42,0.004103508409631511
81,-38,0.022689554473256934
81,-34,0.039623166425553635
81,-30,0.049766020240278264
81,-26,0.07455025465381362
81,-22,0.09948281384679564
81,-18,0.12748448030468842
81,-14,0.22781826263612506
81,-10,0.527187733468561
81,-6,0.5106921032705497
81,-2,0.37968746186005276
81,2,0.5205294736792437
81,6,0.35007095273658223
81,10,0.15836524036733757
81,14,0.10909174571948149
81,18,0.09435136358118788
81,22,0.07013126999042409
81,26,0.05453810492145815
81,30,0.040959339129889
81,34,0.021152570721282793
81,38,0.0012320728263776237
85,-42,0.00028991444871189756
85,-38,0.00985622252730389
85,-34,0.02424156810381411
85,-30,0.02947878481553673
85,-26,0.04347359333262082
85,-22,0.04763710396145433
85,-18,0.06581893274659122
85,-14,0.11088609627267282
