team,position,num,cf_name,player_id,player,line
DET,C,18,Andrew Copp,8477429.0,Andrew Copp,3rd line
DET,RW,,Vladimir Tarasenko,8475765.0,Vladimir Tarasenko,3rd line
DET,LW,48,Jonatan Berggren,8481013.0,Jonatan Berggren,4th line
DET,C,90,Joseph Veleno,8480813.0,Joe Veleno,4th line
DET,G,34,Alex Lyon,8479312.0,Alex Lyon,Goalie
DET,LD,8,Ben Chiarot,8475279.0,Ben Chiarot,1st pair
DET,RD,53,Moritz Seider,8481542.0,Moritz Seider,1st pair
DET,LD,77,Simon Edvinsson,8482762.0,Simon Edvinsson,2nd pair
DET,RD,46,Jeff Petry,8473507.0,Jeff Petry,2nd pair
DET,G,35.0,Ville Husso,8478024.0,Ville Husso,Scratch
EDM,G,74,Stuart Skinner,8479973.0,Stuart Skinner,Goalie
EDM,D,,Joshua Brown,8477384.0,Josh Brown,Scratch
EDM,F,28.0,Connor Brown,8477015.0,Connor Brown,Scratch
EDM,RD,5,Cody Ceci,8476879.0,Cody Ceci,3rd pair
EDM,LD,27,Brett Kulak,8476967.0,Brett Kulak,3rd pair
EDM,RD,86,Philip Broberg,8481598.0,Philip Broberg,2nd pair
EDM,LD,25,Darnell Nurse,8477498.0,Darnell Nurse,2nd pair
EDM,RD,2,Evan Bouchard,8480803.0,Evan Bouchard,1st pair
EDM,LD,14,Mattias Ekholm,8475218.0,Mattias Ekholm,1st pair
EDM,RW,90,Corey Perry,8470621.0,Corey Perry,4th line
EDM,C,10,Derek Ryan,8478585.0,Derek Ryan,4th line
EDM,F,57.0,James Hamblin,8480468.0,James Hamblin,Scratch
EDM,LW,13,Mattias Janmark,8477406.0,Mattias Janmark,4th line
EDM,C,,Adam Henrique,8474641.0,Adam Henrique,3rd line
EDM,LW,55,Dylan Holloway,8482077.0,Dylan Holloway,3rd line
EDM,RW,,Viktor Arvidsson,8478042.0,Viktor Arvidsson,2nd line
EDM,C,29,Leon Draisaitl,8477934.0,Leon Draisaitl,2nd line
EDM,LW,91,Evander Kane,8475169.0,Evander Kane,2nd line
EDM,RW,18,Zach Hyman,8475786.0,Zach Hyman,1st line
EDM,C,97,Connor McDavid,8478402.0,Connor McDavid,1st line
EDM,LW,93,Ryan Nugent-Hopkins,8476454.0,Ryan Nugent-Hopkins,1st line
EDM,RW,,Jeff Skinner,8475784.0,Jeff Skinner,3rd line
EDM,G,30,Calvin Pickard,8475717.0,Calvin Pickard,Goalie
FLA,LW,23,Carter Verhaeghe,8477409.0,Carter Verhaeghe,1st line
FLA,RW,,AJ Greer,8478421.0,A.J. Greer,4th line
FLA,G,72,Sergei Bobrovsky,8475683.0,Sergei Bobrovsky,Goalie
FLA,RD,,Nate Schmidt,8477220.0,Nate Schmidt,3rd pair
FLA,LD,26,Uvis Balinskis,8484304.0,Uvis Balinskis,3rd pair
FLA,RD,7,Dmitry Kulikov,8475179.0,Dmitry Kulikov,2nd pair
FLA,LD,77,Niko Mikkola,8478859.0,Niko Mikkola,2nd pair
FLA,RD,5,Aaron Ekblad,8477932.0,Aaron Ekblad,1st pair
