player_id,player,position,shoots_catches,height,weight,birth_date,birth_country,draft_year,draft_team,round,pick,overall,primary_number,headshot,mp_name,cw_name,dupe_names
8475913,Mark Stone,R,R,"6'3""",212,1992-05-13,CAN,2010,OTT,6,28,178,61,https://assets.nhle.com/mugs/nhl/20232024/VGK/8475913.png,Mark Stone,Mark Stone,
8475917,Jason Akeson,R,R,"5'10""",185,1990-06-03,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,20,https://assets.nhle.com/mugs/nhl/latest/8475917.png,Jason Akeson,Jason Akeson,
8475920,Michael Houser,G,L,"6'1""",185,1992-09-13,USA,undrafted,undrafted,undrafted,undrafted,undrafted,32,https://assets.nhle.com/mugs/nhl/latest/8475920.png,Michael Houser,Michael Houser,
8475949,Marek Hrivik,L,R,"6'2""",197,1991-08-28,SVK,undrafted,undrafted,undrafted,undrafted,undrafted,46,https://assets.nhle.com/mugs/nhl/latest/8475949.png,Marek Hrivik,Marek Hrivik,
8475950,Marcel Mueller,C,L,"6'3""",220,1988-07-10,GER,undrafted,undrafted,undrafted,undrafted,undrafted,45,https://assets.nhle.com/mugs/nhl/latest/8475950.png,Marcel Mueller,,
8475958,Michael Sgarbossa,C,L,"6'0""",179,1992-07-25,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,23,https://assets.nhle.com/mugs/nhl/20232024/WSH/8475958.png,Michael Sgarbossa,Michael Sgarbossa,
8475968,Alex Belzile,R,R,"6'0""",195,1991-08-31,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,60,https://assets.nhle.com/mugs/nhl/20232024/NYR/8475968.png,Alex Belzile,Alex Belzile,
8475980,Brody Sutter,C,R,"6'5""",203,1991-09-26,CAN,2011,CAR,7,12,193,48,https://assets.nhle.com/mugs/nhl/latest/8475980.png,Brody Sutter,Brody Sutter,
8475982,Erik Burgdoerfer,D,R,"6'1""",207,1988-12-11,USA,undrafted,undrafted,undrafted,undrafted,undrafted,46,https://assets.nhle.com/mugs/nhl/latest/8475982.png,Erik Burgdoerfer,Erik Burgdoerfer,
8475990,Jamie Doornbosch,D,L,"6'2""",198,1990-02-01,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,29,https://assets.nhle.com/mugs/nhl/latest/8475990.png,Jamie Doornbosch,,
8475996,Brendan Shinnimin,C,L,"5'10""",185,1991-01-07,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,39,https://assets.nhle.com/mugs/nhl/latest/8475996.png,Brendan Shinnimin,Brendan Shinnimin,
8476020,Andrew Crescenzi,C,L,"6'5""",207,1992-07-29,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,47,https://assets.nhle.com/mugs/nhl/latest/8476020.png,Andrew Crescenzi,Andrew Crescenzi,
8476043,Ben Street,C,L,"6'0""",190,1987-02-13,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,36,https://assets.nhle.com/mugs/nhl/latest/8476043.png,Ben Street,Ben Street,
8476062,Mark Arcobello,R,R,"5'8""",174,1988-08-12,USA,undrafted,undrafted,undrafted,undrafted,undrafted,33,https://assets.nhle.com/mugs/nhl/latest/8476062.png,Mark Arcobello,Mark Arcobello,
8476086,Justin Johnson,R,R,"6'1""",220,1981-05-05,USA,undrafted,undrafted,undrafted,undrafted,undrafted,49,https://assets.nhle.com/mugs/nhl/latest/8476086.png,Justin Johnson,,
8476116,Ryan Garbutt,C,L,"6'0""",195,1985-08-12,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,16,https://assets.nhle.com/mugs/nhl/latest/8476116.png,Ryan Garbutt,Ryan Garbutt,
8476147,Kael Mouillierat,L,L,"6'0""",188,1987-12-09,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,22,https://assets.nhle.com/mugs/nhl/latest/8476147.png,Kael Mouillierat,Kael Mouillierat,
8476158,Harry Zolnierczyk,L,L,"5'11""",180,1987-09-01,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,26,https://assets.nhle.com/mugs/nhl/latest/8476158.png,Harry Zolnierczyk,Harry Zolnierczyk,
8476162,Steve Oleksy,D,R,"5'11""",188,1986-02-04,USA,undrafted,undrafted,undrafted,undrafted,undrafted,43,https://assets.nhle.com/mugs/nhl/latest/8476162.png,Steve Oleksy,Steve Oleksy,
8476166,Taylor Fedun,D,R,"6'1""",200,1988-06-04,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,4,https://assets.nhle.com/mugs/nhl/20232024/PIT/8476166.png,Taylor Fedun,Taylor Fedun,
8476177,Matt Read,R,R,"5'10""",188,1986-06-14,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,10,https://assets.nhle.com/mugs/nhl/latest/8476177.png,Matt Read,Matt Read,
8476179,Will Acton,C,L,"6'3""",202,1987-07-16,USA,undrafted,undrafted,undrafted,undrafted,undrafted,41,https://assets.nhle.com/mugs/nhl/latest/8476179.png,Will Acton,,
8476191,Kevan Miller,D,R,"6'2""",210,1987-11-15,USA,undrafted,undrafted,undrafted,undrafted,undrafted,86,https://assets.nhle.com/mugs/nhl/latest/8476191.png,Kevan Miller,Kevan Miller,
8476195,Cory Conacher,C,L,"5'8""",185,1989-12-14,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,89,https://assets.nhle.com/mugs/nhl/latest/8476195.png,Cory Conacher,Cory Conacher,
8476200,Paul Thompson,R,R,"6'1""",201,1988-11-30,USA,undrafted,undrafted,undrafted,undrafted,undrafted,15,https://assets.nhle.com/mugs/nhl/latest/8476200.png,Paul Thompson,Paul Thompson,
8476205,Stephane Da Costa,C,R,"5'11""",180,1989-07-11,FRA,undrafted,undrafted,undrafted,undrafted,undrafted,24,https://assets.nhle.com/mugs/nhl/latest/8476205.png,Stephane Da Costa,,
8476206,Andy Miele,C,L,"5'7""",169,1988-04-15,USA,undrafted,undrafted,undrafted,undrafted,undrafted,21,https://assets.nhle.com/mugs/nhl/latest/8476206.png,Andy Miele,Andy Miele,
8476207,Brian Gibbons,C,L,"5'8""",175,1988-02-26,USA,undrafted,undrafted,undrafted,undrafted,undrafted,29,https://assets.nhle.com/mugs/nhl/latest/8476207.png,Brian Gibbons,Brian Gibbons,
8476208,Matt Campanale,D,L,"5'11""",200,1988-02-14,USA,undrafted,undrafted,undrafted,undrafted,undrafted,55,https://assets.nhle.com/mugs/nhl/latest/8476208.png,Matt Campanale,,
8476209,Mike Sislo,R,R,"5'11""",190,1988-01-20,USA,undrafted,undrafted,undrafted,undrafted,undrafted,36,https://assets.nhle.com/mugs/nhl/latest/8476209.png,Mike Sislo,Mike Sislo,
8476211,Carter Camper,C,R,"5'9""",176,1988-07-06,USA,undrafted,undrafted,undrafted,undrafted,undrafted,0,https://assets.nhle.com/mugs/nhl/latest/8476211.png,Carter Camper,Carter Camper,
8476214,Brandon DeFazio,L,L,"6'2""",199,1988-09-13,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,43,https://assets.nhle.com/mugs/nhl/latest/8476214.png,Brandon DeFazio,Brandon DeFazio,
8476219,Patrick Cannone,C,R,"5'11""",199,1986-08-09,USA,undrafted,undrafted,undrafted,undrafted,undrafted,42,https://assets.nhle.com/mugs/nhl/latest/8476219.png,Patrick Cannone,Patrick Cannone,
8476224,Chay Genoway,D,L,"5'9""",177,1986-12-20,CAN,undrafted,undrafted,undrafted,undrafted,undrafted,47,https://assets.nhle.com/mugs/nhl/latest/8476224.png,Chay Genoway,,
